address_hex,address_dec,result_type,value_or_code
0x0292,658,EXCEPTION,2
0x0293,659,EXCEPTION,2
0x0294,660,EXCEPTION,2
0x0295,661,EXCEPTION,2
0x0296,662,EXCEPTION,2
0x0297,663,EXCEPTION,2
0x0298,664,EXCEPTION,2
0x0299,665,EXCEPTION,2
0x029A,666,EXCEPTION,2
0x029B,667,EXCEPTION,2
0x029C,668,EXCEPTION,2
0x029D,669,EXCEPTION,2
0x029E,670,EXCEPTION,2
0x029F,671,EXCEPTION,2
0x02A0,672,EXCEPTION,2
0x02A1,673,EXCEPTION,2
0x02A2,674,EXCEPTION,2
0x02A3,675,EXCEPTION,2
0x02A4,676,EXCEPTION,2
0x02A5,677,EXCEPTION,2
0x02A6,678,EXCEPTION,2
0x02A7,679,EXCEPTION,2
0x02A8,680,EXCEPTION,2
0x02A9,681,EXCEPTION,2
0x02AA,682,EXCEPTION,2
0x02AB,683,EXCEPTION,2
0x02AC,684,EXCEPTION,2
0x02AD,685,EXCEPTION,2
0x02AE,686,EXCEPTION,2
0x02AF,687,EXCEPTION,2
0x02B0,688,EXCEPTION,2
0x02B1,689,EXCEPTION,2
0x02B2,690,EXCEPTION,2
0x02B3,691,EXCEPTION,2
0x02B4,692,EXCEPTION,2
0x02B5,693,EXCEPTION,2
0x02B6,694,EXCEPTION,2
0x02B7,695,EXCEPTION,2
0x02B8,696,EXCEPTION,2
0x02B9,697,EXCEPTION,2
0x02BA,698,EXCEPTION,2
0x02BB,699,EXCEPTION,2
0x02BC,700,EXCEPTION,2
0x02BD,701,EXCEPTION,2
0x02BE,702,EXCEPTION,2
0x02BF,703,EXCEPTION,2
0x02C0,704,EXCEPTION,2
0x02C1,705,EXCEPTION,2
0x02C2,706,EXCEPTION,2
0x02C3,707,EXCEPTION,2
0x02C4,708,EXCEPTION,2
0x02C5,709,EXCEPTION,2
0x02C6,710,EXCEPTION,2
0x02C7,711,EXCEPTION,2
0x02C8,712,EXCEPTION,2
0x02C9,713,EXCEPTION,2
0x02CA,714,EXCEPTION,2
0x02CB,715,EXCEPTION,2
0x02CC,716,EXCEPTION,2
0x02CD,717,EXCEPTION,2
0x02CE,718,EXCEPTION,2
0x02CF,719,EXCEPTION,2
0x02D0,720,EXCEPTION,2
0x02D1,721,EXCEPTION,2
0x02D2,722,EXCEPTION,2
0x02D3,723,EXCEPTION,2
0x02D4,724,EXCEPTION,2
0x02D5,725,EXCEPTION,2
0x02D6,726,EXCEPTION,2
0x02D7,727,EXCEPTION,2
0x02D8,728,EXCEPTION,2
0x02D9,729,EXCEPTION,2
0x02DA,730,EXCEPTION,2
0x02DB,731,EXCEPTION,2
0x02DC,732,EXCEPTION,2
0x02DD,733,EXCEPTION,2
0x02DE,734,EXCEPTION,2
0x02DF,735,EXCEPTION,2
0x02E0,736,EXCEPTION,2
0x02E1,737,EXCEPTION,2
0x02E2,738,EXCEPTION,2
0x02E3,739,EXCEPTION,2
0x02E4,740,EXCEPTION,2
0x02E5,741,EXCEPTION,2
0x02E6,742,EXCEPTION,2
0x02E7,743,EXCEPTION,2
0x02E8,744,EXCEPTION,2
0x02E9,745,EXCEPTION,2
0x02EA,746,EXCEPTION,2
0x02EB,747,EXCEPTION,2
0x02EC,748,EXCEPTION,2
0x02ED,749,EXCEPTION,2
0x02EE,750,EXCEPTION,2
0x02EF,751,EXCEPTION,2
0x02F0,752,EXCEPTION,2
0x02F1,753,EXCEPTION,2
0x02F2,754,EXCEPTION,2
0x02F3,755,EXCEPTION,2
